"customer_id","sale_amount"
2280,50
2745,47
6202,39
9974,74
4704,28
2904,79
4710,58
3402,62
1998,49
9714,52
6381,73
5379,50
2583,58
5338,76
5355,75
2159,60
1906,32
1892,97
3219,104
4576,52
8860,49
9388,74
8282,84
4320,39
1483,60
2680,59
6878,1
8686,102
6340,34
8272,58
2587,84
1900,45
5522,45
6252,66
2059,40
6971,61
6691,29
4060,22
9769,46
4983,54
9342,49
6636,21
3599,51
2180,15
3042,39
3512,80
5285,45
2236,4
8690,51
7021,1
7338,61
5312,81
5224,59
3367,95
5879,62
7737,60
9729,29
9213,60
2085,12
6719,31
2767,27
3579,58
9678,33
2017,29
4755,97
9135,43
6666,79
7071,40
2810,66
4065,46
2412,66
4297,35
1886,64
8293,29
3936,49
3391,70
1000,20
5272,37
1381,27
4919,22
9374,35
7225,55
2900,46
3972,49
4408,50
5263,10
7888,50
8754,44
5798,75
6167,20
2656,1
8213,63
3826,55
9897,63
7043,64
7472,41
4129,30
4357,64
4358,55
4482,26
6755,104
1276,20
5264,81
4321,85
8763,43
3379,100
6983,9
6281,33
7649,56
4742,25
4738,63
2813,39
4606,22
6370,38
9725,55
2095,37
8985,32
1322,66
9313,35
2128,2
3816,75
7501,48
4899,50
7579,66
6386,58
8133,91
3110,61
7310,33
9994,46
1495,48
5536,21
8182,18
5001,1
6200,58
1562,66
9560,51
7100,13
1363,9
3378,10
3956,32
2294,52
5355,59
6251,52
7669,64
2035,13
7521,48
5357,65
3309,7
5299,56
7935,42
4651,80
1379,73
8440,115
4721,30
8580,47
7700,42
4715,74
3070,99
4498,25
4099,58
5649,36
3685,65
1396,47
9261,77
4834,88
1411,8
9266,37
2377,64
3390,85
9426,24
7958,50
5545,56
2684,39
1998,38
5089,24
5421,51
1725,44
8601,29
6097,50
3774,29
2867,73
2035,79
7007,42
6533,62
3696,86
3671,51
3019,21
5955,59
3860,39
5747,85
3286,26
4250,46
9921,76
5433,50
5931,128
2631,45
4060,6
9574,69
7748,67
7442,39
1571,1
2495,39
8830,10
9241,39
2103,31
4361,59
7996,31
1685,23
6277,30
8794,83
9614,120
2275,58
8456,59
9901,43
9637,55
1935,19
6881,43
3291,58
3544,70
7893,57
2125,8
8764,80
5922,2
5099,46
5908,47
9734,27
2489,19
1159,17
5149,73
4922,54
5053,53
5247,23
6759,58
3552,13
7523,82
6158,43
1604,106
6764,58
9584,31
5541,17
2265,65
2249,48
1380,1
7909,100
1166,51
4665,2
5366,68
1401,41
5973,13
5248,69
4546,18
7612,1
4267,30
8690,61
6086,25
4385,31
5889,55
3121,26
9538,58
3527,102
5298,65
3641,46
6139,24
1096,1
7970,99
5404,85
3903,49
9911,19
9793,37
2516,70
1507,71
4919,1
8360,65
2934,39
9343,17
3152,52
7079,5
1159,47
4643,70
7929,31
6947,10
2900,66
4817,65
8911,61
2072,66
6368,21
2779,46
5348,67
5540,72
4170,15
7412,15
1964,25
3960,19
5133,54
9354,55
8062,32
6709,28
3578,46
6648,61
8408,25
3051,1
2368,37
5514,45
5788,40
8930,30
2369,27
3366,32
1019,91
7746,56
1127,41
9213,75
7560,115
7827,38
5055,65
2568,67
5513,51
7454,47
7242,70
1285,33
7324,39
4401,41
2365,39
6662,63
5463,59
6718,93
5374,36
9970,67
3652,20
7800,68
3603,90
6339,59
5105,85
2581,56
6440,17
9541,17
3593,95
6793,42
9514,52
3694,71
9377,51
2421,1
7662,40
3684,79
2320,56
8839,53
5077,44
7997,41
9684,81
1910,24
9643,63
4196,43
6635,78
1128,74
9017,18
8385,53
6250,49
2476,47
7988,26
5914,41
3983,34
5968,33
1509,69
8021,30
9754,85
3922,13
2187,58
3705,104
5861,77
7047,5
5019,28
4352,31
1583,25
1571,1
8060,28
3476,55
2601,17
7954,88
3678,60
6402,77
7849,54
3656,17
6692,7
3462,24
9588,16
7078,49
2195,58
8643,71
7814,33
4762,44
3625,49
7355,16
1379,37
8856,56
6019,57
9757,43
5802,61
9350,86
6135,31
6293,65
9679,2
8364,106
4323,55
7609,5
1532,16
4392,74
8032,66
5154,32
8327,120
7847,55
9206,55
1033,68
8050,82
3139,44
7989,44
1954,25
5653,48
2684,59
4113,46
8935,40
2714,70
1047,41
4398,86
6803,84
1874,82
5242,17
3738,87
3323,45
2919,78
5336,72
5100,63
7997,67
7396,49
5307,94
1811,28
9805,24
2128,86
7385,11
9553,55
8271,62
9588,72
7913,70
3730,36
6349,37
3789,44
4000,14
5258,51
3915,114
7006,2
5481,46
7790,63
6128,14
9703,72
7466,86
2349,72
3668,31
5722,47
5633,47
1416,25
7320,43
5738,68
2979,15
7840,19
3274,14
8705,33
7936,102
1173,78
8184,69
2346,32
9372,51
1249,89
8850,24
8598,5
2927,31
6507,52
9969,43
8830,13
5167,15
7297,1
1976,37
6655,72
1162,64
5695,15
6826,41
9170,52
3495,60
7041,34
2733,26
7736,72
3742,31
7655,32
5840,49
8164,1
2783,78
3566,82
1364,44
6399,32
8259,47
2855,47
1628,47
8702,70
2818,69
1773,51
1164,10
4642,64
1914,41
9005,66
7718,93
8546,97
4974,43
9135,57
8852,85
9660,72
5987,25
7463,66
6144,20
3332,98
3377,82
4331,95
9880,15
5252,42
3061,55
5532,40
1904,61
2196,102
1125,67
9567,38
3657,53
3644,51
6379,77
5009,34
4536,60
8816,42
5011,29
1211,52
1486,83
9580,48
9074,14
5456,9
2920,45
4025,25
6656,72
8097,10
2011,47
2439,47
6975,35
6046,21
3975,76
1123,55
8183,76
6569,76
1306,56
2088,27
1236,38
1339,78
2168,39
7562,70
2123,35
6532,62
1949,52
3616,44
6496,35
4806,49
7711,67
6148,36
6885,69
3733,1
2806,55
5116,44
8172,59
9670,58
2450,47
1635,54
1083,27
7801,43
2784,85
9505,59
2039,91
6427,75
9190,43
7894,35
4249,13
8166,67
4705,52
5833,44
3287,66
8088,65
6414,94
4817,43
2210,59
8225,62
9855,55
9977,63
1881,76
2481,59
6145,91
7935,32
5258,32
6745,49
8700,58
3635,77
5760,75
